更新时间,#genre#
20260911 04:05,url

RespoTime,whitelist,#genre#
42.73ms,Cold Case Files,https://aegis-cloudfront-1.tubi.video/1e764712-0649-4946-bd7e-f1bbba3be6fa/playlist.m3u8
42.92ms,NBC 3 Sacramento CA (KCRA),https://aegis-cloudfront-1.tubi.video/5e3aff30-070f-4951-aa59-5ca415acb3c1/playlist.m3u8
42.96ms,NBC 8 Lancaster PA (WGAL),https://aegis-cloudfront-1.tubi.video/5d314174-0110-42af-8811-feaae073ea1e/playlist.m3u8
43.00ms,PEARL DRAMA,https://amg01868-amg01868c5-tvbanywhere-us-4493.playouts.now.amagi.tv/playlist/amg01868-tvbusa-tvbpearldrama-tvbanywhereus/playlist.m3u8
43.10ms,CBS 3 Omaha NE (KMTV),https://aegis-cloudfront-1.tubi.video/0b16cabe-a8fd-4d91-99e5-3efb7aa740cc/playlist.m3u8
43.33ms,CBC News (480p),https://amg00788-cbc-amg00788c4-xumo-us-3045.playouts.now.amagi.tv/master480P.m3u8
43.82ms,Star Maa,https://da86m1sqpm3o0.cloudfront.net/28072023/smil:starmaa1.smil/chunklist_b2628000.m3u8
44.43ms,ABC News Australia (576p),https://abc-news-dmd-streams-1.akamaized.net/out/v1/701126012d044971b3fa89406a440133/index_6.m3u8
45.43ms,CBC News (240p),https://amg00788-cbc-amg00788c4-xumo-us-3045.playouts.now.amagi.tv/master240P.m3u8
46.82ms,CBC News (576p),https://amg00788-cbc-amg00788c4-xumo-us-3045.playouts.now.amagi.tv/master576P.m3u8
47.70ms,ABC 9 Manchester NH (WMUR-TV),https://aegis-cloudfront-1.tubi.video/b77ffe96-c5d1-43a7-8687-306ff244d725/playlist.m3u8
48.14ms,Nautical Channel,https://a-cdn.klowdtv.com/live2/nautical_720p/playlist.m3u8
48.20ms,Astro欢喜,https://cdn.qd.je/163189.php?id=hxt
49.45ms,REUTERS TV,https://amg00453-reuters-amg00453c1-samsung-de-2111.playouts.now.amagi.tv/playlist/amg00453-reuters-reuters-samsungde/playlist.m3u8
51.75ms,爱奇艺,https://cdn.qd.je/163189.php?id=iqiyi
57.61ms,AssyriaSat [Not 24/7],http://66.242.170.53/hls/live/temp/index.m3u8
57.80ms,新加坡中文,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?zshijd
59.90ms,澳门综艺,http://cdn6.163189.xyz/163189/amzy
63.19ms,France 3,http://89.187.185.76:8080/France3/index.m3u8
63.31ms,重庆重广融媒,http://38.75.136.137:98/gslb/dsdqpub/cqjc.m3u8?auth=testpub
63.36ms,青岛都市,http://38.75.136.137:98/gslb/dsdqpub/sdqdtv5.m3u8?auth=testpub
63.41ms,KRCA-TV Estrella Los Angeles (720p),https://content.uplynk.com/channel/829a8c85f9e840c6bed963856c231428.m3u8
63.42ms,青岛影视,http://38.75.136.137:98/gslb/dsdqpub/sdqdtv3.m3u8?auth=testpub
63.43ms,青岛休闲资讯,http://38.75.136.137:98/gslb/dsdqpub/sdqdtv4.m3u8?auth=testpub
63.44ms,周润发,http://38.75.136.137:82/live1/jsb.m3u8?id=lbzrf&usign=1LR7Q-EFMMTvbEbLXeCmxA
63.46ms,重温经典,http://38.75.136.137:82/live1/jsb.m3u8?id=cwjd&ip=whus28&usign=1LR7Q-EFMMTvbEbLXeCmxA
63.50ms,CBC News (1080p),https://amg00788-cbc-amg00788c4-xumo-us-3045.playouts.now.amagi.tv/master1080P.m3u8
63.70ms,青岛生活服务,http://38.75.136.137:98/gslb/dsdqpub/sdqdtv2.m3u8?auth=testpub
63.70ms,天津体育,http://38.75.136.137:98/gslb/dsdqpub/tjty5.m3u8?auth=testpub
63.72ms,海南卫视,http://38.75.136.137:98/gslb/dsdqpub/hinwshd.m3u8?auth=testpub
63.93ms,RÚV 2,https://ruvlive.akamaized.net/out/v1/2ff7673de40f419fa5164498fae89089/index.m3u8
64.00ms,翡翠台,http://r.jdshipin.com/qrfbg
65.24ms,民视新闻,http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8
65.76ms,深圳卫视,http://38.64.72.148:80/hls/modn/list/4007/playlist.m3u8
65.83ms,深圳国际,http://38.64.72.148/hls/modn/list/4007/playlist.m3u8
66.16ms,美国城市卫视,http://38.64.72.148/hls/modn/list/4028/playlist.m3u8
66.22ms,中旺电视,http://38.64.72.148:80/hls/modn/list/4010/chunklist1.m3u8
66.26ms,台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
66.29ms,台视新闻,http://38.64.72.148/hls/modn/list/4013/chunklist1.m3u8
66.37ms,台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
66.38ms,Denver 8 TV (Denver CO),https://cdn3.wowza.com/5/bGZUOHp2TnhudnM2/denver/G0080_002/playlist.m3u8
66.39ms,东森美洲2,http://38.64.72.148:80/hls/modn/list/2015/chunklist1.m3u8
66.54ms,台视新闻,http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8
66.56ms,台视新闻,http://38.64.72.148/hls/modn/list/4013/playlist.m3u8
66.70ms,TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8
66.74ms,东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8
66.82ms,汉天卫视,http://38.64.72.148/hls/modn/list/4025/playlist.m3u8
66.88ms,CGTN阿语,https://0472.org/hls/cgtna.m3u8
66.98ms,NOW新闻,https://cdn.163189.xyz/163189/now
66.99ms,海峡卫视,http://38.64.72.148/hls/modn/list/4009/playlist.m3u8
67.03ms,海峡卫视,http://38.64.72.148:80/hls/modn/list/4009/playlist.m3u8
67.16ms,东森超视美洲,http://38.64.72.148/hls/modn/list/2013/playlist.m3u8
67.18ms,2026-09-10,https://cors.isteed.cc/https://raw.githubusercontent.com/n3rddd/N3RD/master/JN/N3RD/W/CRIMETVPV2.mkv
67.29ms,东森中国,http://38.64.72.148/hls/modn/list/2003/playlist.m3u8
67.30ms,中旺电视,http://38.64.72.148/hls/modn/list/4010/playlist.m3u8
67.39ms,海峡卫视,http://38.64.72.148:80/hls/modn/list/4009/chunklist1.m3u8
67.60ms,Santa Monica City TV 20 (Santa Monica CA) (360p) [Not 24/7],https://cdn3.wowza.com/5/bGZUOHp2TnhudnM2/santamonica/G0039_002/playlist.m3u8
67.65ms,台视,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8
67.76ms,深圳电视台,http://38.64.72.148:80/hls/modn/list/4007/chunklist1.m3u8
67.79ms,VIUTV'粤,http://cdn.163189.xyz/163189/viu
67.80ms,TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
67.90ms,TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist0.m3u8
68.01ms,Buenisima Radio TV,https://canal.mediaserver.com.co/live/buenisimatv.m3u8
68.08ms,福建海峡卫视,http://38.64.72.148:80/hls/modn/list/4009/chunklist0.m3u8
68.17ms,Dove Channel,https://linear-896.frequency.stream/dist/cineverse/896/hls/master/playlist.m3u8
68.28ms,TVBS-Asia,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
68.35ms,SFGovTV2 San Francisco The City Channel,https://cdn3.wowza.com/5/ZFdxUW9BQWt2UWRL/sanfrancisco/G0051_050/playlist.m3u8
68.36ms,NOW NEWS,http://cdn.163189.xyz/163189/now
68.37ms,东森美洲,http://38.64.72.148/hls/modn/list/2016/playlist.m3u8
68.81ms,TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
68.92ms,Shop LC (1080p),https://cdn-shop-lc-01.akamaized.net/Content/DASH_DASH/Live/channel(ott)/master.mpd
68.98ms,民视新闻台,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
69.47ms,东森超视 34.5,http://38.64.72.148/hls/modn/list/2013/chunklist0.m3u8
70.38ms,华丽翡翠台,http://r.jdshipin.com/thuYX
70.46ms,青岛新闻综合,http://38.75.136.137:98/gslb/dsdqpub/sdqdtv1.m3u8?auth=testpub
70.59ms,澳视卫星,https://cdn6.163189.xyz/163189/as
70.60ms,Scripps News,https://content.uplynk.com/channel/4bb4901b934c4e029fd4c1abfc766c37.m3u8
70.79ms,Beverly Hills Television 10,https://cdn3.wowza.com/5/V2Y2VmhqMEFDTUkx/beverlyhills/G0072_006/playlist.m3u8
71.10ms,澳视卫星,http://r.jdshipin.com/QFhCq
71.77ms,ABC 13 Las Vegas NV (KTNV) (720p),https://content.uplynk.com/channel/39919d3f7a074eefa8bf579214e952f9.m3u8
71.85ms,TVBPLUS,http://cdn.163189.xyz/live/tvbp/stream.m3u8
72.32ms,流行舞曲02,http://txmov2.a.kwimgs.com/upic/2023/12/05/13/BMjAyMzEyMDUxMzE1MTdfMjM0Mjg1Nzg4Ml8xMTg4OTc4MjIyMjFfMV8z_b_B004cc9f0156f1196335a505a63b1b750.mp4?tag=1-1701947365-std-1-fxxcn4woik-48e2be84a01a7e83&clientCacheKey=3xm64tb7cixz88g_b.mp4&tt=b&di=529d11df&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
73.13ms,KSHB 41 (Kansas City MO) (720p),https://content.uplynk.com/channel/50d0fa1b042945a3a4f550f9b8412c83.m3u8
73.23ms,八度空间,https://cdn6.163189.xyz/live/8tv/stream.m3u8
73.26ms,东森美洲,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
73.42ms,HOY78,https://fast.hidns.vip/163189/hoy78
73.65ms,YouDotGov,https://reflect-communitytv.cablecast.tv/live-3/live/stream-1/live.m3u8
73.71ms,Schwab Network (1080p),https://content.uplynk.com/channel/f9aafa1f132e40af9b9e7238bc18d128.m3u8
73.86ms,澳视澳门,https://cdn.163189.xyz/live/asam/stream.m3u8
74.09ms,Canal Cine Dios,https://canal.mediaserver.com.co/live/cinedios.m3u8
74.29ms,CGTN Español,https://news.cgtn.com/resource/live/espanol/cgtn-e.m3u8
74.34ms,SFGovTV San Francisco The Government Channel,https://cdn3.wowza.com/5/ZFdxUW9BQWt2UWRL/sanfrancisco/G0051_048/playlist.m3u8
74.39ms,KZTV-DT1 (720p),https://content.uplynk.com/channel/d1f868588ae5476dadaeff450170a183.m3u8
74.40ms,Channel 11 (Scottsdale AZ),https://cdn3.wowza.com/5/RXJNMFI3VlVkOEFP/scottsdale/G0040_007/chunklist.m3u8
74.46ms,广东体育,http://cdn2.163189.xyz/live/gdty/stream.m3u8
74.64ms,dj歌曲01,http://txmov2.a.kwimgs.com/upic/2023/11/28/07/BMjAyMzExMjgwNzQxNTJfMjM0Mjg1Nzg4Ml8xMTgyNzkwNjUyMDZfMV8z_b_B3a70152ca6546cbb7da723a6b2fe0031.mp4?tag=1-1701948426-std-1-4opil88qnr-8202842495ea54af&clientCacheKey=3xpw5dz59c3rqx4_b.mp4&tt=b&di=2b8e8c09&bp=12681&ali_redirect_ex_hot=66666800&ali_redirect_ex_beacon=1
74.83ms,Sky News (1080p),https://d25w9q07b2mtmw.cloudfront.net/live/master_5.m3u8
74.90ms,Canal Oración Con Son,https://canal.mediaserver.com.co/live/oracionconson.m3u8
74.96ms,澳视澳门,https://cdn6.163189.xyz/163189/asam
75.06ms,Olelo Community Media Channel 49,https://cdn3.wowza.com/5/V2Y2VmhqMEFDTUkx/olelo/G0125_009/playlist.m3u8
75.46ms,国际|REDBULL SPORTS,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_928.m3u8
75.50ms,KRIS-DT1 (1080p),https://content.uplynk.com/channel/e72660594b7a4182982af1690609683d.m3u8
75.70ms,Kern County Television,https://cdn3.wowza.com/5/dk84U1p2UUdoMGxT/kern/G0169_003/playlist.m3u8
75.83ms,凤凰中文,http://r.jdshipin.com/cCCzW
75.91ms,ABC News Albania Ⓣ,https://www.twitch.tv/abcnewsal
76.13ms,春晚2022,http://txmov2.a.kwimgs.com/upic/2022/02/01/11/BMjAyMjAyMDExMTEwMjNfNDAzMDAxOTlfNjYzNzA4MTk4NzNfMF8z_b_B898cc7ddd0025bf54ddb18ec1f723c84.mp4
76.26ms,The Johnny Carson Show,https://aegis-cloudfront-1.tubi.video/475550ae-8708-46a5-a7c3-54acb3d91480/playlist.m3u8
76.28ms,ABC 7 Washington DC (WJLA),https://linear-681.frequency.stream/dist/stirr/681/hls/master/playlist.m3u8
76.61ms,Telecontacto,https://streaming.grupomediosdelnorte.com:19360/telecontacto/telecontacto.m3u8
76.99ms,凤凰中文,http://cdn.163189.xyz/live/fhzw/stream.m3u8
77.57ms,Sky News (216p),https://d25w9q07b2mtmw.cloudfront.net/live/master_6.m3u8
77.68ms,PHXTV,https://cdn3.wowza.com/5/bGZUOHp2TnhudnM2/phoenix/G1498_006/playlist.m3u8
78.03ms,Red Bull TV UK,https://1a3566cb46914c5499fbc86fbc4ac87e.mediatailor.us-west-2.amazonaws.com/v1/master/ba62fe743df0fe93366eba3a257d792884136c7f/LINEAR-932-WORBUKENFAST-WHALETVPLUS/932/whaletvplus/hls/master/playlist.m3u8
78.33ms,Sky News (720p),https://d25w9q07b2mtmw.cloudfront.net/live/master_4.m3u8
78.44ms,NBC 12 Winston-Salem NC (WXII),https://aegis-cloudfront-1.tubi.video/54b357b4-bf4b-4356-97b4-b1acb6ab62f7/playlist.m3u8
78.74ms,BritBox Mysteries,https://aegis-cloudfront-1.tubi.video/c95700f8-e51c-4a36-ad46-56f70fc9f1d9/playlist.m3u8
79.02ms,NBC News NOW (432p),https://plex-xumoent-nbcnn-x17gi.fast.nbcuni.com/live/master_1.m3u8
79.47ms,ABC 4 Seattle WA (KOMO),https://linear-709.frequency.stream/dist/stirr/709/hls/master/playlist.m3u8
79.61ms,Bloomberg,ttp://bgdc.live:25461/randallo2023/6064013450/15336
79.67ms,TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=j2
79.84ms,WSLF-LD 35.1 (720p),https://content.uplynk.com/channel/1992858a34c3423dbdad491d07ae6f75.m3u8
79.96ms,dj《错过不是我的错》,hhttps://vd3.bdstatic.com/mda-na6dv0mi83nwdcj9/sc/cae_h264/1641656080219161555/mda-na6dv0mi83nwdcj9.mp4
80.06ms,Sky News (432p),https://d25w9q07b2mtmw.cloudfront.net/live/master_1.m3u8
80.09ms,澳门体育,http://cdn6.163189.xyz/163189/amty
80.36ms,TV Éxitos,https://streaming.grupomediosdelnorte.com:19360/tvexitos/tvexitos.m3u8
80.66ms,Sky News (360p),https://d25w9q07b2mtmw.cloudfront.net/live/master_2.m3u8
80.69ms,Crónica TV Ⓨ,https://www.youtube.com/c/cronicatv/live
80.78ms,Miramax Movie Channel,https://linear-798.frequency.stream/mt/plex/798/hls/master/playlist.m3u8
81.05ms,澳视卫星,http://cdn.163189.xyz/live/as/stream.m3u8
81.15ms,凤凰香港台,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
81.24ms,Alkarma TV Australia,https://5a8308add0b31.streamlock.net/alkarmatv.com/alkarmaau.smil/playlist.m3u8
81.56ms,NTV Kenya Ⓨ,https://www.youtube.com/c/NTVKenyaOnline/live
81.58ms,老李卡通,https://wj.lmlcyp.ccwu.cc/raw/mp4/2.mp4
81.86ms,ErdélyTV Ⓨ,https://www.youtube.com/channel/UCS5t4xWMT6lIZ9tcPROUd5A/live
81.94ms,今日热歌DJ如果爱还在A8回心转意爱到最后就是痛,.https://vd2.bdstatic.com/mda-mhhf5mr00yyhpfjs/1080p/cae_h264/1629284581057661229/mda-mhhf5mr00yyhpfjs.mp4
82.17ms,ABC 9 Tucson AZ (KGUN),https://aegis-cloudfront-1.tubi.video/a53514a7-f2aa-4d34-802e-c2b5594fc0d7/playlist.m3u8
82.73ms,Duck Dynasty,https://aegis-cloudfront-1.tubi.video/ae3cd8ce-3c41-452b-92a0-78fdb3c5b855/playlist.m3u8
83.31ms,ABC 25 News Central Texas (720p),https://content.uplynk.com/channel/9d4e02c9c3544c269d32e6b316792c8f.m3u8
83.54ms,WGGS-DT2 (720p),https://content.uplynk.com/channel/1f93c13275024afb9e0ead299624073d.m3u8
83.58ms,CHU,http://cdn6.163189.xyz/163189/chu
84.00ms,CH8,https://cdn6.163189.xyz/live/ch8/stream.m3u8
84.07ms,RetroCrush,https://linear-899.frequency.stream/dist/cineverse/899/hls/master/playlist.m3u8
84.23ms,India Today Ⓨ,https://www.youtube.com/watch?v=sYZtOFzM78M
84.40ms,Telecomercio TV [Not 24/7],https://streaming.grupomediosdelnorte.com:19360/telecomerciotv/telecomerciotv.m3u8
84.42ms,Euronews Greek,https://www.youtube.com/euronewsGreek/live
84.43ms,Z1 Ⓨ,https://www.youtube.com/@z1televizija/live
84.65ms,娱乐新闻,https://cdn6.163189.xyz/163189/ylxw
84.79ms,CTV News Ⓨ,https://www.youtube.com/c/CTVNews/live
84.88ms,Olelo Community Media Channel 53,https://cdn3.wowza.com/5/V2Y2VmhqMEFDTUkx/olelo/G0125_011/playlist.m3u8
84.91ms,A&E,http://23.239.31.26:8989/aande/index.m3u8
85.04ms,Ontario Public Access Channel (360p),https://cdn3.wowza.com/5/dk84U1p2UUdoMGxT/ontarioca/G2446_002/playlist.m3u8
85.19ms,News18 Marathi Ⓨ,https://www.youtube.com/@News18Marathi/live
85.31ms,RTHK31,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk31
85.31ms,我们一家,https://wj.lmlcyp.ccwu.cc/raw/mp4/3.mp4
85.54ms,MTV2,http://198.58.104.90:8989/mtv2/index.m3u8
85.57ms,CGTN纪录,https://0472.org/hls/cgtnd.m3u8
85.87ms,Red Bull TV,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_6660.m3u8
86.09ms,凤凰中文,https://cdn6.163189.xyz/163189/fhzw
86.21ms,Oxygen,http://198.58.104.90:8989/oxygen/index.m3u8
86.24ms,CBS 2 Salt Lake City UT (KUTV),https://linear-707.frequency.stream/dist/stirr/707/hls/master/playlist.m3u8
86.26ms,八度空间,http://cdn6.163189.xyz/163189/8tv
86.39ms,Al Jazeera 2,https://live-hls-web-aja2-gcp.thehlive.com/AJA2/index.m3u8
86.39ms,AMC,http://23.239.31.26:8989/amc/index.m3u8
86.50ms,凤凰香港,https://cdn6.163189.xyz/163189/fhhk
86.53ms,BBC America,http://23.239.31.26:8989/bbcamerica/index.m3u8
86.57ms,AXS TV,http://23.239.31.26:8989/axstv/index.m3u8
86.64ms,广东体育,http://r.jdshipin.com/LiYdg
86.75ms,National Geographic East,http://198.58.104.90:8989/natgeo/index.m3u8
86.80ms,TRM h24 Ⓨ,https://www.youtube.com/user/trmh24/live
87.16ms,凤凰资讯,http://r.jdshipin.com/0Rp07
87.28ms,CGTN,https://news.cgtn.com/resource/live/english/cgtn-news.m3u8
87.46ms,「US」 BloombergTV+2,https://liveprodusphoenixeast.akamaized.net/USPhx-HD/Channel-TX-USPhx-AWS-virginia-1/Source-USPhx-16k-1-s6lk2-BP-07-02-81ykIWnsMsg_live.m3u8
87.49ms,NHK World Japan Ⓨ,https://www.youtube.com/channel/UCSPEjw8F2nQDtmUKPFNF7_A/live
87.93ms,ATV+ Noticias Ⓨ,https://www.youtube.com/c/ATVNoticiasOficial/live
88.12ms,ACC Network,http://23.239.31.26:8989/accnetwork/index.m3u8
88.73ms,MTV Azerbaijan Ⓢ Ⓨ,https://www.youtube.com/@MTVAzerbaijan/live
88.76ms,St. Pete TV (SPTV) (St Petersburg FL) (360p),https://cdn3.wowza.com/5/RXJNMFI3VlVkOEFP/stpete/G0187_003/playlist.m3u8
88.79ms,TVB Plus,http://r.jdshipin.com/Nr5jq
88.82ms,CBS News 24/7 (720p),https://cbsn-us.cbsnstream.cbsnews.com/out/v1/55a8648e8f134e82a470f83d562deeca/master_24.m3u8
88.86ms,CH8,https://cdn6.163189.xyz/163189/ch8
89.00ms,广东珠江,http://r.jdshipin.com/sE5vO
89.00ms,Lokal-TV Uddevalla / Fyrbodal-TV Ⓨ,https://www.youtube.com/@LtvuSeTube/live
89.04ms,TVB娱乐新闻台,http://php.jdshipin.com/TVOD/iptv.php?id=tvbylxw
89.23ms,India TV Ⓨ,https://www.youtube.com/watch?v=e1FIApIafWE
89.61ms,Al Jazeera,https://live-hls-apps-aje-fa.getaj.net/AJE/index.m3u8
89.70ms,QVC,https://qvc-amd-live.akamaized.net/hls/live/2034113/lsqvc1us/master.m3u8
89.77ms,中天新闻 YT,https://www.youtube.com/watch?v=vr3XyVCR4T0
89.88ms,Euronews по-русски Ⓨ,https://www.youtube.com/euronewsru/live
90.25ms,CH5,http://cdn6.163189.xyz/163189/ch5
90.27ms,T7,https://gjirafa-video-live.gjirafa.net/gjvideo-livestream-specific/1z8-byc-4ee-lc9/index.m3u8
90.27ms,HSN,https://qvc-amd-live.akamaized.net/hls/live/2034113/lshsn1us/master.m3u8
90.29ms,CBS News 24/7 (540p),https://cbsn-us.cbsnstream.cbsnews.com/out/v1/55a8648e8f134e82a470f83d562deeca/master_22.m3u8
90.35ms,Hoy Tv,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hoytv
90.48ms,翡翠台4K,http://cdn.163189.xyz/live/fct4k/stream.m3u8
90.54ms,Venevisión Internacional,https://vod2live.univtec.com/manifest/4c41c0d8-e2e4-43cc-bd43-79afe715e1b3.m3u8
90.66ms,Whiplash II (480p),https://cdn.whiplash.cc/whiplash-2/index.m3u8
90.89ms,TVB武侠,https://cdn6.163189.xyz/163189/yzwx
91.08ms,Galmudug TV Ⓨ,https://www.youtube.com/channel/UCaEZkCJVKUoQNK42y-bC2Uw/live
91.10ms,Telecanal 12 [Not 24/7],https://edge.essastream.com/telecanal12/tracks-v1a1/mono.m3u8
91.28ms,Channel News Asia Ⓨ,https://www.youtube.com/channel/UC83jt4dlz1Gjl58fzQrrKZg/live
91.34ms,ABC 13 Asheville NC (WLOS),https://linear-695.frequency.stream/dist/stirr/695/hls/master/playlist.m3u8
91.36ms,Stadium,https://wurl120sports.global.transmit.live/hls/679a907dce42a042c23ace37/v1/stadium_gracenote/samsung_us/latest/main/hls/playlist.m3u8
91.38ms,In the kitchen,https://qvc-amd-live.akamaized.net/hls/live/2034113/lsqvc4us/master.m3u8
91.47ms,Beverly Hills Television 35,https://cdn3.wowza.com/5/V2Y2VmhqMEFDTUkx/beverlyhills/G0072_007/playlist.m3u8
91.52ms,八度空间,https://cdn6.163189.xyz/163189/8tv
91.64ms,DD India Ⓨ,https://www.youtube.com/DDIndia/live
91.71ms,HSN2,https://qvc-amd-live.akamaized.net/hls/live/2034113/lshsn2us/master.m3u8
92.01ms,NHLFAST,https://nhl-firetv.amagi.tv/playlist1080p.m3u8
92.18ms,DD Urdu Ⓨ,https://www.youtube.com/@DDUrdu/live
92.32ms,Ecovisión,https://streaming.grupomediosdelnorte.com:19360/ecovision/ecovision.m3u8
92.39ms,CH5,https://cdn6.163189.xyz/163189/ch5
92.43ms,National Geographic Wild East,http://198.58.104.90:8989/natgeowild/index.m3u8
92.44ms,CHU,https://cdn6.163189.xyz/163189/chu
92.56ms,Euronews Deutsch Ⓨ,https://www.youtube.com/euronewsde/live
92.59ms,Super Canal,https://live-evg7.tv360.bitel.com.pe/bitel/supercanalSRT/playlist.m3u8
92.66ms,News18 UP Uttarakhand Ⓨ,https://www.youtube.com/@News18UPUttarakhand/live
92.74ms,SBT Ⓨ,https://www.youtube.com/watch?v=ABVQXgr2LW4
92.74ms,franceinfo: Ⓨ,https://www.youtube.com/c/franceinfo/live
92.82ms,凤凰卫视台,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
93.14ms,翡翠台4K,https://cdn.163189.xyz/live/fct4k/stream.m3u8
93.16ms,Wanted: Dead or Alive,https://aegis-cloudfront-1.tubi.video/d5171dc7-f8c6-469c-81eb-e1ffaaed5721/playlist.m3u8
93.30ms,Rai News 24,https://d3k8wzt41aflvx.cloudfront.net/RAINEWS24/Live.m3u8
93.33ms,Somaliland National TV Ⓨ,https://www.youtube.com/c/SLNTVLIVESTREAM/live
93.36ms,TTV News (台視新聞台) Ⓨ,https://www.youtube.com/@TTV_NEWS/live
93.54ms,Olelo Community Media Channel 55,https://cdn3.wowza.com/5/V2Y2VmhqMEFDTUkx/olelo/G0125_013/playlist.m3u8
93.57ms,Miavision TV [Not 24/7],https://edge.essastream.com/miavisiontv/playlist.m3u8
93.76ms,翡翠台,http://r.jdshipin.com/qClQf
93.81ms,翡翠台,http://r.jdshipin.com/n90gt
93.97ms,M1 Hiradó Ⓨ,https://www.youtube.com/@M1-Hirado/live
94.01ms,Haiti News Channel [Not 24/7],https://cdn.haititivi.com/website/haitinews/index.m3u8
